puuid,leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,ratedTier,ratedRating
g9sU4vV4TPvmjP_6P5-FM0yyi98WhXYVUu_a1PE3Xty1t22wcVnH3Y040UaxC6GDf_bfNLTS4zrBdg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,KAL0-h2-SOq-YcWu6IN5t9bf7mxrh4uckcnIJUAVYTSuzLQ,1085.0,133,60,False,False,True,False,,
kY7Ju140zJFdQOU2HRNPNL2veCt2pFIZ89dyNSS7H2gUC0_H2yi7GuZSDX0z4Zh-fNpvD7pxTo1gJQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,n76wsNDgVwlECONmbDdz6ABjNHz3ZXTcwh3xrwFD0s5DlI0,1054.0,134,62,False,False,True,True,,
MOmnJ_E7wRSC3X_1nxUlpJHz-2NKC7ChSj3GHKE39Rfcqg-v1zgq1PwmpRK-bfaeyQaFMZXbbwGTUg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,esYjmi7WKwvroE4xeuEg0aYb-OLMb-CN8Z-gU8t9ovUQLY5LOn6FhRaDXg,948.0,119,45,False,False,True,False,,
ItFT3ib8Zd5KBOVZz10Qun1AcqkT3AgkDQEuklGzdd4l2i0_qhBm6XCb9PjYbg49GuRFwyU_E879Ww,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,9ZzPmTCdfu8FvEz0pnTUV0AAOzyZrNwDQv9Gys5MtXmFvQ,924.0,103,46,False,False,True,False,,
jKKNH2WrvAA3Vk2_QIIHQaq5vhuCth7ryn9wRZXlPpx7Mh3YViX8o340cwOd28dNG66t8Q7Na9cYiw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,RZnPFTABmsNrpgtFlagxZtuYOsunlnvCGMQ61pm4vD0G-w-ZghsxW_6paw,863.0,114,57,False,False,True,False,,
l1RmQwUHhOlcLejOliAw3_WbfPoWH4yEsgF3TjeYqN2M5m9Ua6vTKhSFTn6UQ8CTYuwnM3OS-e3B0A,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,P_KUydRyF218Js4AiBVk1JH121F_pELj4wDIFFqbNMn4UBo,844.0,129,91,False,False,True,True,,
aLQyBvi0X3xEHq2fqvq4NgUx0fvGCVNlDkj3HQdJX0C3_JEPj_Hk7-B3pl6L33sPWvq30Tj8PRgtkg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,GdrK6aQDaFyRbqWfkMEo2iDM7hzJY1_TtRAFN_HOKGYbaM2f2EosplCs4g,828.0,123,68,False,False,True,False,,
v8gWagQ0Cc7lAKppQFPu2O0AyHxX2ThHF32hhmcgDn_eaiEDoEDWVodnI7eaCb8oNYvsNLMXUdDx-g,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,b_5-v14RPK12NTSJ68vsp1r5AGp2XQsPCCdoSkYDKXqBlUU,827.0,144,106,False,False,True,False,,
rCozEyhiZzegdu8Fkv3tMW_pcHamOcEmY9LNA0ZCs9EzRGRwbrgGWFMT4hs1imw4wnIPavFbMc2gNg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,4n7nhLphU9P3fbimukV1fsfDhj46szmn71vbjVqagBR2yrE,823.0,125,86,False,False,True,False,,
Y9qjlXxU0KH3-Eme2QxRTKBwEzq7VsOQLb04U0jrUgNYrU_GAFfzK6FYjr3J8xeY9jC9vwYp6RfcJA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,29PW1SaGXPOt3tZ11Zwewp24X9LwmQgQV0P3rpAKbhHNzA,816.0,103,51,False,False,True,False,,
