puuid,leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,ratedTier,ratedRating
XQyi6buoJL4cgNuH7XrJ7ECDwfT08IBgfHK4YldH0-Fnd1Opycl4XH5-Wud2HGqaOFMib9NyJ5dafQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,G-T0LpDGg2Zzvm8ZQ2IRbJHXIRbrbaW99t9qkL1Dqov7Gw,590.0,149,92,False,False,True,False,,
z54HELUJ65zTK5S8uNibIAKBzK78nY3224EVg8TdxMvzJplHZ16tX-CxRbdApT326Ph7KNtsjdLKgQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,dNEgYTgMTqY7eANwFnZ1vjJTrKQ-Nu42-0b9Sph51WZA4w,590.0,140,117,False,False,True,False,,
39U4G8NPEDjVHDkSg30X0dIh8uVNTKmnhtq5bCdoZVMQ0J7UgIraBc-WLg6JSn2coDcD1ZTJaEJSug,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,7o44lCrUzOYNyek5H7VIbPesiytGmLZli2eGk2EttOY5wgvVWdH42o5fiA,583.0,129,100,False,False,True,False,,
qPOk0zQRYdgf3jboGQrUqEgRD_rDURtalr2Neb78cKZJppjLAZ0V3j8GUBcnzwjCXiuVyCrtMV5t7A,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,y8--nIXXTstFS_gO256YpxzI0SIZc9rnneBqPzFjHlU6AQ,580.0,215,181,False,False,True,False,,
n1H0zGpwclm2PDfzDk6gXSC0a2MimMiLG7WWhGYi4d5hNq-RzKbyLyyFO5-wCY5boKDtwbEkFEwzWA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,DpMr_S4dzAlGkcBKzhLaTRP6x3tHPoJeUjVszqXahcLJWQ,579.0,162,129,False,False,True,True,,
H3zkn0IMTMGJqZWKr5wr_52WO8kj5k1ogN3dB7NBHza5aBcoNEUMBcQohqZTGxkNeOywKaIHJ4-Jag,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,plsCcxLrOUUPvJCMADOwTt7ZmSjnVtAXAiXobuxO_foz5dhk69CS0X--AQ,577.0,87,58,False,False,True,False,,
eXUAPWfpsih3p008nTl5ohignqJYYEbbQG4UEIO7f32-nJAFHjrtKdSYKhMM5hI0h0Cta6Rkfh51lA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,jxfIFdhQq7-4zqn73Svx_QwhpVRp8PMeRLP_9VyRfUST3xOFEBLMo1aOFQ,569.0,125,94,False,False,True,False,,
vRcvVpyHmnYF1MzX-TDvfpnRcpFjebi-rePnmi_rAOyzNi4YdySsxZF1wFfd8UvyZXMCYZH4y4HEAw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,4SoYBFhbO8rNK3lfK-vHbZugeLlAe2ulMc26a7Y1TU3T2VM,565.0,141,103,False,False,True,True,,
vRcvVpyHmnYF1MzX-TDvfpnRcpFjebi-rePnmi_rAOyzNi4YdySsxZF1wFfd8UvyZXMCYZH4y4HEAw,,RANKED_TFT_TURBO,,,4SoYBFhbO8rNK3lfK-vHbZugeLlAe2ulMc26a7Y1TU3T2VM,,6,0,,,,,GREEN,2002.0
Bl4I685eKJxvGQmJrWRA94KNv0Rp5fadlMwkIqI-oeDbMbZ9svbFIH2ZIJak2ELdcTtSLAJXExWDHQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,2txDpLaZCa8VZuY1nc-bsDK7LLBsH2rZz__0KYuuyPlgQ0g,565.0,92,58,False,False,True,False,,
FLGOKD0D739smE46VUPyDK8IVSdT_q46ri41HBPAAyvQ_QKOTaLn4-SV2GSB-q149GQADG1PPLtgWA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,O6VdWhVFf76ZOMEixgFXkILFz4xvfXVHaCMTVWu1O62LfTGQI1Zxt3ptrw,564.0,104,56,False,False,True,True,,
PxasKmI-C_ocWrahXfUtLLmZC9cc_m4rN-_Df27V-Lm45rQ5eh6B-XJkK-0n_ix5MSqNkELLeByCMA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,mN6YV_2Sm7Hks5z-5ZqDcdgYCmuedqypXRaNVYYgPKi6zHg,564.0,73,31,False,False,True,True,,
PxasKmI-C_ocWrahXfUtLLmZC9cc_m4rN-_Df27V-Lm45rQ5eh6B-XJkK-0n_ix5MSqNkELLeByCMA,,RANKED_TFT_TURBO,,,mN6YV_2Sm7Hks5z-5ZqDcdgYCmuedqypXRaNVYYgPKi6zHg,,74,28,,,,,ORANGE,5596.0
